Index,Number
0,11000110000001110010100000010001010110001001111111100001111101101110011100001100101000101101111101101000000111111100101100100101
1,01100111010110000001101011010100100101010110100000001000100010101001100111100011100110010001110101100101101011011000000110100101
2,11001000101001000101100100111101010000100011110111010101110011001000101111110011101011011000001110011001100011111011110111001101
3,10010001101000111101010000010010100111100101110000011000101000001000110101110111010011000111110001111100100101100001010110000111
4,01110101101110000110110100111010101011100111110001010010000010111100010100111111110010100010000010001100101000011011001100001010
5,10100000100110011111110100000101011011010101000111101100101111011111000111101000011000001101110100101000111110000001101100011000
6,01111111111100011110101011110010110110000101001110100110110011010100000001011111111110001101110110010111100110011101001101011100
7,10000000110110101011010100000011011101011011011000110001010010010101010000110011011110111000010000000100011001110100111010110110
8,00000011100111000011100100110111000000001010000000011000110100011010010111100100001110111001101101110101111000111100100111010111
9,01110101110011111111001100001010000000011110010111111111110011100000001000011111000100110100001101111101110100000001110001111010
10,01101110100011111101100000111000101100000000101000010010111110111001101110001111011001100111100001011100100100011000010111100100
11,11100001001110100010011011011010001011111111001001011010001011110001000101100011000100101111111001011001000101111101010001110011
12,01000101011101011000100100011111011110101110000000101100110100101101101001010000111111110110011011100110001001100111011100011100
13,01010110001011111010101100010010110001111111111001001110111000000100100000010011101101001111100100111000001110100100001010001110
14,10101111011000110111101100101100101110000010010110000101101101011010101001101011101010110011101110011000010001010100010111110100
15,00010000000110111010010000100101110011101001010000000100110010100010000011111011010100011010010000111001001010111011110110010000
16,11101010010110000011110100010111011111010010001000000111000000001110010011001000100110111011110000100011100001001110010001101000
17,10000111110110101001001000111001110100010110010001110100111011111111000101010111011001110100011001001011101010111000110000110110
18,10110101010011110011101100000101111001011000101001000101101001110000000010100111010100011100011010101111100011110000000101001000
19,11000001100000111001100000001010010100100111010111011000101010101110110111001111100101000111110111000100001011001000010000100001
20,01101011110110001001111000011001000010111110000000000010110101010001100010101000100101110001101100011010000001111100111001100010
21,11011001011110110110010000000101110111011111100110111000110011111110000011101111101011011010001001011100000111110000110111110010
22,11110000001111100100110011100000000111010010111001100001100110000000100000000111100000110010001001010011001110000001000011010101
23,10010100011111100100101100110011100001111001111000101111101011111000001100101100001101011101100011011111110001111011010011110110
24,11110101110000010001110000011010000110011011100000111101010110101100101110011011000111010011100000111011110010010100011111101110
25,01011001011100100110111111100001001000010110010000011100011011001100010000001100001100110110011011110100110000111100110101000111
26,11011101000001101111101111100101010001111111111110101011010000101111000101100111010100111000010111001010101000111101001001111010
27,00111000101100000001001111100001000110010111100111111001101000010001111101000011001111100011111000010100110000100110110010000111
28,00100001000110011111001111101000001000001110111111011100001011101000111001101111100101111000011100110000111100100001101010100100
